,codes,name,links,coord,label,timezone,id,lat,lon,administrative_regions
5,"[{'type': 'source', 'value': '87611327'}, {'type': 'uic', 'value': '87611327'}]",Varilhes,[],"{'lat': '43.041594', 'lon': '1.628318'}",Varilhes (Varilhes),Europe/Paris,stop_area:SNCF:87611327,43.041594,1.628318,"[{'insee': '09324', 'name': 'Varilhes', 'level': 8, 'coord': {'lat': '43.0424295', 'lon': '1.6272972'}, 'label': 'Varilhes (09120)', 'id': 'admin:fr:09324', 'zip_code': '09120'}]"
6,"[{'type': 'source', 'value': '87130898'}, {'type': 'uic', 'value': '87130898'}]",Varilhes Centre,[],"{'lat': '43.044978', 'lon': '1.627614'}",Varilhes Centre (Varilhes),Europe/Paris,stop_area:SNCF:87130898,43.044978,1.627614,"[{'insee': '09324', 'name': 'Varilhes', 'level': 8, 'coord': {'lat': '43.0424295', 'lon': '1.6272972'}, 'label': 'Varilhes (09120)', 'id': 'admin:fr:09324', 'zip_code': '09120'}]"
7,"[{'type': 'source', 'value': '87476929'}, {'type': 'uic', 'value': '87476929'}]",Vatimont Mairie,[],"{'lat': '48.980013', 'lon': '6.464483'}",Vatimont Mairie (Vatimont),Europe/Paris,stop_area:SNCF:87476929,48.980013,6.464483,"[{'insee': '57698', 'name': 'Vatimont', 'level': 8, 'coord': {'lat': '48.9808121', 'lon': '6.4664978'}, 'label': 'Vatimont (57580)', 'id': 'admin:fr:57698', 'zip_code': '57580'}]"
8,"[{'type': 'source', 'value': '87393538'}, {'type': 'uic', 'value': '87393538'}]",Vauboyen,[],"{'lat': '48.759124', 'lon': '2.192065'}",Vauboyen (Jouy-en-Josas),Europe/Paris,stop_area:SNCF:87393538,48.759124,2.192065,"[{'insee': '78322', 'name': 'Jouy-en-Josas', 'level': 8, 'coord': {'lat': '48.76464', 'lon': '2.1684529'}, 'label': 'Jouy-en-Josas (78350)', 'id': 'admin:fr:78322', 'zip_code': '78350'}]"
9,"[{'type': 'source', 'value': '87276626'}, {'type': 'uic', 'value': '87276626'}]",Vaucelles,[],"{'lat': '49.02193', 'lon': '2.22885'}",Vaucelles (Taverny),Europe/Paris,stop_area:SNCF:87276626,49.02193,2.22885,"[{'insee': '95607', 'name': 'Taverny', 'level': 8, 'coord': {'lat': '49.0265888', 'lon': '2.2234971'}, 'label': 'Taverny (95150)', 'id': 'admin:fr:95607', 'zip_code': '95150'}]"
10,"[{'type': 'source', 'value': '87279927'}, {'type': 'uic', 'value': '87279927'}]",Vauchonvilliers Mairie,[],"{'lat': '48.265575', 'lon': '4.526139'}",Vauchonvilliers Mairie (Vauchonvilliers),Europe/Paris,stop_area:SNCF:87279927,48.265575,4.526139,"[{'insee': '10397', 'name': 'Vauchonvilliers', 'level': 8, 'coord': {'lat': '48.2645149', 'lon': '4.5268894'}, 'label': 'Vauchonvilliers (10140)', 'id': 'admin:fr:10397', 'zip_code': '10140'}]"
11,"[{'type': 'source', 'value': '87382267'}, {'type': 'uic', 'value': '87382267'}]",Vaucresson,[],"{'lat': '48.836834', 'lon': '2.152553'}",Vaucresson (Vaucresson),Europe/Paris,stop_area:SNCF:87382267,48.836834,2.152553,"[{'insee': '92076', 'name': 'Vaucresson', 'level': 8, 'coord': {'lat': '48.8392676', 'lon': '2.1575981'}, 'label': 'Vaucresson (92420)', 'id': 'admin:fr:92076', 'zip_code': '92420'}]"
12,"[{'type': 'source', 'value': '87746727'}, {'type': 'uic', 'value': '87746727'}]",Vaudagne,[],"{'lat': '45.908818', 'lon': '6.772591'}",Vaudagne (Les Houches),Europe/Paris,stop_area:SNCF:87746727,45.908818,6.772591,"[{'insee': '74143', 'name': 'Les Houches', 'level': 8, 'coord': {'lat': '45.891508', 'lon': '6.799138'}, 'label': 'Les Houches (74310)', 'id': 'admin:fr:74143', 'zip_code': '74310'}]"
13,"[{'type': 'source', 'value': '87117507'}, {'type': 'uic', 'value': '87117507'}]",Vaudreching Bernanos,[],"{'lat': '49.285029', 'lon': '6.524449'}",Vaudreching Bernanos (Vaudreching),Europe/Paris,stop_area:SNCF:87117507,49.285029,6.524449,"[{'insee': '57700', 'name': 'Vaudreching', 'level': 8, 'coord': {'lat': '49.2853', 'lon': '6.526'}, 'label': 'Vaudreching (57320)', 'id': 'admin:fr:57700', 'zip_code': '57320'}]"
14,"[{'type': 'source', 'value': '87271601'}, {'type': 'uic', 'value': '87271601'}]",Vaumoise,[],"{'lat': '49.233921', 'lon': '2.988748'}",Vaumoise (Coyolles),Europe/Paris,stop_area:SNCF:87271601,49.233921,2.988748,"[{'insee': '02232', 'name': 'Coyolles', 'level': 8, 'coord': {'lat': '49.2341051', 'lon': '3.0436365'}, 'label': 'Coyolles (02600)', 'id': 'admin:fr:02232', 'zip_code': '02600'}]"
15,"[{'type': 'source', 'value': '87775817'}, {'type': 'uic', 'value': '87775817'}]",Vauvert,[],"{'lat': '43.695037', 'lon': '4.270165'}",Vauvert (Vauvert),Europe/Paris,stop_area:SNCF:87775817,43.695037,4.270165,"[{'insee': '30341', 'name': 'Vauvert', 'level': 8, 'coord': {'lat': '43.6924382', 'lon': '4.2754772'}, 'label': 'Vauvert (30600)', 'id': 'admin:fr:30341', 'zip_code': '30600'}]"
